seconds,temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec),,,force (gF),accel_z (m/s^2)
22,6.413563135,30,10.69063721,-2.741894531,54.14276123,132.1258545,33.80584717,,,38.84530725,6.56463623
23,6.509305922,30,7.651464844,-4.289294434,-2.627563477,-6.462097168,-16.67327881,,,32.10588045,5.315710449
24,6.521918312,30,7.763317871,-4.2109375,16.60919189,-11.43951416,-0.86517334,,,34.79697101,3.95612793
25,6.50091367,30,8.186206055,-4.008764648,10.7131958,-11.71722412,-4.347229004,,,34.70336786,3.709094238
26,6.551459623,30,8.208935547,-3.757543945,6.376647949,-10.25390625,-5.895996094,,,31.89527336,5.513098145
27,6.602470024,30,7.847058105,-4.563842773,-5.116271973,8.470153809,-5.116271973,,,17.24638039,6.938476563
28,6.649641209,30,8.235253906,-3.692944336,34.21173096,18.19000244,-5.46875,,,30.91244029,4.986132813
29,6.662574867,30,8.414099121,-3.563745117,17.69866943,-5.297851563,-5.618286133,,,37.90927575,4.998693848
30,6.732056095,30,7.466040039,-2.891430664,17.36755371,7.188415527,-6.814575195,,,35.33518913,4.851550293
31,6.833431661,30,6.680078125,-5.011254883,9.196472168,-26.4465332,-9.078979492,,,37.44126,6.965991211
32,6.887033004,30,7.385290527,-3.398059082,13.27667236,-9.698486328,-11.49291992,,,35.82660566,5.513696289
33,6.959268391,30,7.924816895,-3.149230957,5.319213867,-6.269836426,-10.2645874,,,34.32895526,6.346911621
34,7.0600415,30,8.348303223,-3.118725586,4.24041748,-10.18981934,-5.062866211,,,35.17138361,6.437231445
35,7.125055296,30,7.939172363,-4.003979492,-6.184387207,-10.85205078,-8.534240723,,,33.81413794,5.508312988
36,7.171920319,30,7.506713867,-4.15949707,-4.635620117,9.111022949,-5.554199219,,,32.99511038,5.334851074
37,7.14375845,30,8.525952148,-4.421484375,6.109619141,-11.06567383,-12.34741211,,,36.08401433,5.888134766
38,7.120388411,30,8.266357422,-3.795825195,-6.814575195,-5.372619629,0.480651855,,,32.43349148,5.862414551
39,7.120388411,30,8.564233398,-4.385595703,7.893371582,-13.6932373,-6.163024902,,,35.569197,5.679382324
40,7.125055296,30,8.614477539,-4.61887207,15.81878662,-13.61846924,-6.29119873,,,28.99357571,6.165673828
41,7.120388411,30,8.029492188,-5.311523438,9.698486328,11.47155762,4.667663574,,,16.6613607,7.664624023
42,7.14375845,30,4.935290527,-4.579394531,6.045532227,-36.47613525,-18.56384277,,,18.60362606,6.563439941
43,7.200211276,30,6.881054688,-4.64519043,12.74261475,-5.500793457,-2.563476563,,,22.30095049,6.968981934
44,7.271507324,30,7.110144043,-4.554272461,-17.01507568,-11.6317749,-6.33392334,,,20.31188355,7.558752441
45,7.314677871,30,7.475610352,-4.23067627,1.420593262,-8.737182617,-7.594299316,,,20.28848276,8.067773438
46,7.338789783,30,6.287695313,-3.981848145,14.20593262,25.68817139,-13.05236816,,,18.06540795,7.882946777
47,7.387290166,30,5.831311035,-4.050036621,10.28594971,17.59185791,-5.661010742,,,17.15277724,7.93737793
48,7.406794067,30,6.168664551,-4.285705566,6.227111816,-93.58825684,-7.33795166,,,22.88597018,8.20534668
49,7.426357524,30,5.11114502,-4.66373291,2.638244629,-30.15289307,-4.069519043,,,16.87196779,7.685559082
50,7.470593998,30,5.462255859,-4.684069824,6.451416016,-6.494140625,-5.938720703,,,28.10434579,8.522961426
51,7.505210559,30,5.766113281,-4.102075195,13.72528076,7.060241699,-16.22467041,,,36.62223244,5.753552246
52,7.564984641,30,6.933691406,-4.048242188,-1.91192627,-32.05413818,-4.988098145,,,27.80013555,6.842773438
53,7.569990538,30,6.570019531,-4.37722168,-2.05078125,-64.00146484,5.543518066,,,31.73146785,5.784057617
