seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec),,,
104,35.17138361,9.089763882,30,6.941467285,-3.427368164,6.492260742,-5.65032959,2.723693848,5.767822266,,,
105,33.81413794,9.095932445,30,7.098779297,-3.646289063,5.868395996,-17.41027832,1.495361328,2.542114258,,,
106,33.90774109,9.11446637,30,7.873974609,-4.265966797,5.508312988,19.69604492,-49.96643066,1.91192627,,,
107,33.41632455,9.108283685,30,7.358972168,-4.740893555,4.563244629,-2.072143555,-13.4475708,-5.746459961,,,
108,33.36952298,9.133042724,30,7.749560547,-4.529150391,4.146936035,8.758544922,5.191040039,-6.675720215,,,
109,32.99511038,9.157877365,30,6.990515137,-4.022521973,5.34621582,11.87744141,1.100158691,-10.43548584,,,
110,31.75486864,9.170323109,30,7.13347168,-4.181030273,5.334851074,5.126953125,11.30065918,-5.928039551,,,
111,36.78603795,9.176553099,30,7.671801758,-3.697131348,5.682971191,12.87078857,-17.83752441,-4.560852051,,,
112,36.08401433,9.189027335,30,6.011950684,-4.472924805,6.425268555,17.49572754,-5.928039551,-4.518127441,,,
113,33.1355151,9.201520602,30,7.244128418,-3.571520996,5.888134766,5.778503418,-16.50238037,-7.786560059,,,
114,32.43349148,9.239114877,30,6.645385742,-4.484887695,6.543701172,-3.834533691,-6.462097168,7.38067627,,,
115,39.26652143,9.226564343,30,6.600524902,-4.201367188,5.862414551,9.623718262,-19.56787109,-5.78918457,,,
116,30.16361509,9.251684558,30,7.306335449,-4.106262207,5.356982422,4.507446289,-28.28369141,-9.100341797,,,
117,35.569197,9.264273415,30,6.005371094,-4.172058105,5.866003418,15.47698975,-50.01983643,-28.36914063,,,
118,31.28685289,9.257976587,30,6.949841309,-4.058410645,5.679382324,7.220458984,-5.821228027,-11.19384766,,,
119,36.15421669,9.289508775,30,6.802697754,-4.386791992,5.668017578,1.890563965,-7.060241699,-5.009460449,,,
120,30.5146269,9.314821193,30,7.309326172,-4.231872559,5.425170898,36.15570068,-36.77520752,-28.97796631,,,
121,19.89066938,9.346570436,30,7.212426758,-1.027612305,7.43972168,21.09527588,4.678344727,-10.86273193,,,
122,28.99357571,9.416846156,30,7.81595459,-1.445117188,6.165673828,-13.05236816,-38.04626465,-2.136230469,,,
123,16.6613607,9.474784357,30,6.897802734,-0.104077148,8.02590332,14.01367188,-13.14849854,-21.97113037,,,
124,18.83763394,9.53962801,30,6.473120117,1.561157227,7.664624023,12.45422363,-20.14465332,-13.19122314,,,
125,10.36654886,9.552656157,30,6.879260254,0.91217041,6.458166504,-6.761169434,4.550170898,4.122924805,,,
126,19.04824103,9.598411392,30,7.555761719,1.378723145,6.280517578,3.866577148,-7.177734375,-5.28717041,,,
127,17.92500323,9.631243493,30,7.081433105,1.462463379,6.563439941,8.865356445,-2.168273926,-2.883911133,,,
128,18.60362606,9.637824942,30,7.818347168,0.924133301,7.089208984,14.15252686,-21.69342041,-11.95220947,,,
129,16.73156306,9.657599415,30,5.993408203,-0.522180176,6.565234375,-41.40014648,58.36181641,5.265808105,,,
130,22.30095049,9.697284272,30,5.437731934,-0.550292969,7.82791748,4.870605469,-5.60760498,-4.656982422,,,
131,23.26038278,9.717194864,30,6.084326172,-0.846374512,6.968981934,-0.395202637,-1.943969727,0.82244873,,,
132,17.5973922,9.730493909,30,5.949145508,-0.66932373,7.756140137,-1.580810547,-3.524780273,-5.372619629,,,
133,21.66912923,9.737151038,30,5.18770752,-0.982751465,7.01862793,31.2210083,-80.83496094,-40.7699585,,,
134,20.31188355,9.770512901,30,5.794226074,-0.570629883,7.558752441,-8.416748047,-1.00402832,-11.77062988,,,
135,16.40395204,9.783893288,30,5.178137207,-0.181835938,8.35189209,-26.24359131,31.45599365,-7.412719727,,,
136,20.28848276,9.810715334,30,6.205151367,0.629846191,7.936181641,11.37542725,-8.171081543,-0.736999512,,,
137,20.38208591,9.837619281,30,5.154211426,0.03828125,8.067773438,43.7713623,-18.53179932,-0.54473877,,,
138,15.21051188,9.851102046,30,6.671704102,0.328381348,7.293774414,-26.56402588,-20.76416016,-22.25952148,,,
139,18.06540795,9.88489902,30,5.476013184,0.570031738,7.882946777,39.41345215,-3.78112793,4.454040527,,,
140,18.20581268,9.878129317,30,5.624353027,-1.874584961,9.477001953,-36.87133789,-19.35424805,-18.25408936,,,
141,14.88290085,9.891673885,30,5.613586426,0.466552734,7.93737793,3.631591797,-11.82403564,-5.009460449,,,
142,17.15277724,9.918825043,30,4.578198242,-0.639416504,8.662927246,47.48840332,6.408691406,3.09753418,,,
143,18.36961819,9.925625777,30,5.330065918,-0.564050293,7.714868164,12.42218018,-7.444763184,-6.686401367,,,
144,19.21204654,9.946059109,30,5.396459961,-0.750073242,8.462548828,-4.753112793,46.18530273,-8.470153809,,,
145,23.7752001,9.959707311,30,6.063989258,0.176452637,8.20534668,18.54248047,-0.694274902,4.881286621,,,
146,22.88597018,9.952880609,30,5.731420898,0.144152832,7.731616211,18.68133545,-5.981445313,-3.770446777,,,
147,12.61302446,9.966539219,30,5.792431641,0.878076172,8.043847656,6.440734863,0.512695313,-3.482055664,,,
148,16.87196779,10.0076402,30,6.251208496,1.138867188,7.685559082,12.89215088,27.99530029,7.038879395,,,
149,20.7798993,10.02826129,30,6.949841309,0.883459473,6.962402344,8.149719238,-2.008056641,-3.930664063,,,
150,21.45852214,10.06273472,30,5.41081543,-0.760241699,8.522961426,16.34216309,-27.97393799,-3.78112793,,,
151,28.10434579,10.05582952,30,7.696325684,-2.549890137,8.635412598,-52.61535645,7.33795166,10.05096436,,,
152,32.03567809,10.09733979,30,7.103564453,-2.367456055,5.914453125,16.47033691,-25.5279541,-8.245849609,,,
153,36.62223244,10.09733979,30,6.319995117,-2.73112793,5.916845703,9.901428223,-39.54162598,-14.20593262,,,
154,37.95607733,10.11816623,30,7.16517334,-2.929711914,5.753552246,8.662414551,-26.90582275,-4.998779297,,,
155,34.56296314,10.132077,30,7.8859375,-2.613293457,5.699719238,19.79217529,-2.008056641,-3.652954102,,,
156,35.99041118,10.132077,30,7.999584961,-2.964404297,4.93828125,24.87640381,2.029418945,-12.36877441,,,
157,27.80013555,10.14600899,30,6.584375,-2.923730469,6.842773438,2.168273926,-18.96972656,-13.26599121,,,
158,19.35245126,10.15298296,30,6.211730957,-0.97557373,7.939172363,36.13433838,-20.16601563,-9.848022461,,,
159,10.92816776,10.18093203,30,6.231469727,-0.153125,7.929602051,2.499389648,-4.528808594,-10.09368896,,,
160,31.73146785,10.21598843,30,7.328466797,-1.475622559,5.784057617,-4.859924316,-28.74298096,-16.48101807,,,
161,36.59883165,10.23708648,30,8.231665039,-2.336352539,4.849755859,-0.373840332,-27.33306885,-18.2434082,,,
162,37.74547024,10.2441299,30,8.080334473,-2.607910156,5.26427002,9.645080566,0.32043457,-4.144287109,,,
163,34.23535211,10.25117868,30,7.295568848,-3.020031738,5.778076172,-0.672912598,-20.82824707,-11.58905029,,,
164,36.55203008,10.2723573,30,7.878759766,-3.115734863,4.991516113,12.02697754,-23.42376709,-5.265808105,,,
165,27.87033791,10.25117868,30,7.779467773,-1.761535645,6.138757324,20.35827637,9.5703125,-16.27807617,,,
166,18.11220953,10.2865033,30,7.087414551,-0.718371582,6.558654785,1.057434082,-7.284545898,-11.73858643,,,
167,17.05917409,10.32196281,30,7.458862305,-0.636425781,6.287695313,3.823852539,-5.714416504,-7.060241699,,,
168,27.47252453,10.35755771,30,8.24901123,-0.244641113,6.472521973,12.20855713,-4.988098145,3.877258301,,,
169,19.72686386,10.38613147,30,6.995300293,0.141162109,5.65246582,48.3001709,-39.15710449,-16.8548584,,,
170,26.32588594,10.39328853,30,8.285498047,0.803308105,5.391674805,8.865356445,-30.25970459,-14.16320801,,,
171,18.27601504,10.42197139,30,8.065380859,3.118725586,5.45447998,13.54370117,-0.854492188,-10.38208008,,,
