seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
239,34.8203718,10.48682848,30,-9.368737793,0.88046875,-0.889440918,8.555603027,-7.83996582,-4.272460938
240,43.92327814,10.49406232,30,-9.523657227,0.656164551,-1.367358398,4.64630127,-3.225708008,-5.447387695
241,47.01218209,10.50854656,30,-9.73001709,0.70880127,-0.904394531,6.387329102,-19.04449463,-9.046936035
242,36.94984346,10.5230529,30,-9.471618652,0.399560547,-0.775793457,5.618286133,-6.301879883,-5.682373047
243,47.24618996,10.5230529,30,-9.667810059,0.718371582,-1.348815918,3.78112793,1.634216309,-4.005432129
244,51.6689388,10.55213201,30,-9.177331543,0.812280273,-1.595849609,9.303283691,-23.89373779,-5.490112305
245,44.929512,10.55213201,30,-9.564331055,0.539526367,-0.98873291,7.797241211,-8.02154541,-5.895996094
246,49.96068131,10.57399959,30,-9.395056152,0.891833496,-1.407434082,4.229736328,-3.375244141,-4.315185547
247,52.06675219,10.58129991,30,-9.530834961,0.775793457,-1.713684082,9.078979492,-17.01507568,-9.399414063
248,47.85461044,10.58860579,30,-9.431542969,0.830822754,-0.778186035,8.245849609,-8.929443359,-4.902648926
249,48.83744351,10.58860579,30,-9.324475098,0.852355957,-1.197485352,0.747680664,-5.052185059,-5.500793457
250,45.77194035,10.62521884,30,-9.744372559,0.756054688,-1.437341309,13.96026611,-23.08197021,-10.13641357
251,46.31015846,10.63255821,30,-9.382495117,0.845776367,-0.681884766,6.900024414,-8.865356445,-4.614257813
252,48.74384036,10.64725374,30,-9.534423828,0.576611328,-1.12331543,2.830505371,1.879882813,-4.956054688
253,52.13695455,10.63990317,30,-9.388476563,0.785961914,-0.852355957,9.93347168,-24.82299805,-6.665039063
254,47.90141201,10.65460991,30,-9.557751465,0.38939209,-0.282324219,6.771850586,-5.084228516,-6.707763672
255,47.43339626,10.66933909,30,-9.314306641,0.74050293,-1.11015625,5.062866211,-4.454040527,-3.855895996
256,47.97161438,10.6767121,30,-9.339428711,0.58737793,-0.863122559,7.722473145,-20.12329102,-7.818603516
257,43.64246869,10.69886488,30,-9.756335449,0.598144531,-0.501843262,6.077575684,-5.009460449,-6.024169922
258,47.33979311,10.69886488,30,-9.454272461,0.604125977,-0.849963379,5.682373047,-4.154968262,-4.486083984
259,46.19315453,10.70626041,30,-9.729418945,0.166882324,-0.757250977,12.80670166,-17.44232178,-8.288574219
260,49.44586399,10.73589895,30,-9.76171875,0.495263672,-0.253613281,8.053588867,-7.669067383,-6.195068359
261,54.19622385,10.75075214,30,-9.78684082,0.260791016,-0.044262695,2.91595459,-7.562255859,-6.782531738
262,53.04958526,10.75818723,30,-9.530834961,0.239257813,-0.72076416,11.6317749,-10.47821045,-3.834533691
263,53.11978763,10.75818723,30,-9.320288086,0.436645508,0.030505371,6.65435791,-10.49957275,-5.564880371
264,51.15412148,10.75818723,30,-9.936975098,0.075964355,-0.453393555,4.817199707,-5.511474609,-10.2432251
265,48.88424509,10.77307442,30,-9.514086914,0.340942383,-0.343334961,8.929443359,-14.09912109,-5.10559082
266,47.48019784,10.79544781,30,-9.619958496,0.327783203,0.062207031,6.034851074,-6.878662109,-4.753112793
267,53.86861283,10.79544781,30,-9.247314453,0.791943359,-0.449804688,1.484680176,-5.575561523,0.736999512
268,61.28666246,10.79544781,30,-9.55715332,0.866711426,-1.022229004,11.73858643,-8.576965332,-7.33795166
269,54.80464433,10.81787241,30,-9.618164063,0.748278809,-0.066394043,5.960083008,-11.00158691,-5.714416504
270,53.1665892,10.83285066,30,-10.08710938,0.236865234,0.016748047,5.532836914,-2.659606934,-2.55279541
271,57.0979215,10.84785176,30,-9.546386719,0.863122559,-0.876879883,7.295227051,-2.659606934,-3.385925293
272,54.50043409,10.87039634,30,-9.609191895,0.421691895,-0.155517578,4.870605469,-8.406066895,-4.46472168
273,53.30699393,10.87792266,30,-8.947045898,0.54909668,-0.122619629,2.136230469,-8.70513916,-5.265808105
274,53.42399786,10.88545472,30,-9.119311523,0.629846191,-0.181835938,8.139038086,-6.590270996,-3.55682373
275,57.14472308,10.88545472,30,-9.333447266,0.320007324,-0.084338379,3.663635254,0.897216797,-5.500793457
276,57.91694906,10.89299252,30,-8.920727539,0.442626953,-0.061010742,6.910705566,-9.645080566,-2.616882324
277,59.78901206,10.90808537,30,-10.1008667,0.309838867,-0.55567627,9.004211426,-4.699707031,-9.153747559
278,50.45209785,10.90808537,30,-9.485974121,0.635827637,0.434851074,3.898620605,-9.548950195,-3.652954102
279,58.4083656,10.91564043,30,-9.882543945,0.648388672,-0.154919434,10.06164551,-16.51306152,-9.313964844
280,51.1073199,10.93834019,30,-9.773681641,0.443225098,0.221313477,4.849243164,-4.902648926,-6.622314453
281,56.81711205,10.92320125,30,-9.804785156,0.535339355,-0.300866699,6.344604492,-1.54876709,-6.451416016
282,54.50043409,10.95350223,30,-9.519470215,0.622070313,0.40255127,5.511474609,-12.74261475,-3.108215332
283,52.51136715,10.96109192,30,-9.612182617,0.544311523,0.129199219,3.631591797,-7.177734375,-4.78515625
284,58.47856796,10.9686874,30,-10.02729492,0.577807617,-0.47253418,9.378051758,-2.680969238,-12.53967285
285,52.7921766,10.9915086,30,-9.411804199,0.59934082,0.155517578,9.046936035,-13.57574463,-5.458068848
286,49.07145139,11.00675175,30,-9.428552246,0.430664063,-0.032299805,6.301879883,-6.942749023,-3.140258789
287,55.85767976,10.9915086,30,-9.856225586,0.540124512,0.16628418,6.29119873,-16.01104736,-7.316589355
288,52.30076006,11.02966009,30,-9.384887695,0.436645508,0.638220215,8.032226563,-6.024169922,-3.813171387
289,55.76407661,11.01438205,30,-9.518273926,0.807495117,-0.06998291,5.030822754,-2.691650391,-5.703735352
290,55.57687031,11.03730785,30,-9.528442383,0.483898926,0.406738281,4.122924805,-9.02557373,-5.372619629
291,54.05581913,11.02966009,30,-9.865197754,0.635229492,0.412121582,0.202941895,-5.10559082,-6.942749023
292,59.83581364,11.03730785,30,-9.294567871,0.97677002,0.032897949,6.51550293,-8.299255371,-5.233764648
293,56.18529079,11.04496145,30,-9.69173584,0.77220459,0.488684082,6.355285645,-10.10437012,-6.600952148
294,52.13695455,11.06795726,30,-9.305932617,0.712390137,0.477319336,5.372619629,-11.34338379,-3.289794922
295,57.8467467,11.06795726,30,-9.292175293,0.695043945,0.516796875,6.365966797,-16.39556885,-1.773071289
296,55.0386522,11.08331704,30,-9.658239746,0.921142578,0.411523438,4.133605957,-5.618286133,-3.247070313
297,55.2258585,11.09100572,30,-9.838879395,0.909179688,0.360681152,8.854675293,-9.901428223,-8.630371094
298,52.58156951,11.10640066,30,-9.537414551,0.741699219,0.559265137,5.212402344,-7.872009277,-5.714416504
299,53.09638684,11.11410694,30,-9.539807129,0.989331055,0.258398438,5.586242676,-1.602172852,-5.201721191
