seconds,temp (C),motor (%),force (gF),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
27,5.985767255,30,31.40385683,-8.572009277,0.06340332,-4.393969727,5.351257324,-8.032226563,-6.077575684
28,6.020087281,30,33.43972534,-8.54329834,-0.052636719,-4.119421387,6.376647949,-7.444763184,-4.721069336
29,6.043098446,30,34.98417731,-8.637805176,-0.011364746,-4.271350098,5.532836914,-6.312561035,-4.977416992
30,6.070078153,30,31.24005131,-8.704199219,-0.029309082,-4.12121582,7.498168945,-6.825256348,-5.052185059
31,6.104978542,30,40.08554899,-8.51697998,0.259594727,-4.245629883,3.813171387,-7.209777832,-5.062866211
32,6.155814775,30,38.1900852,-8.612683105,0.220715332,-4.078149414,6.632995605,-8.352661133,-4.881286621
33,6.199225251,30,40.78757261,-8.633618164,0.419299316,-4.22409668,5.244445801,-7.231140137,-5.052185059
34,6.215101338,30,39.03251355,-8.550476074,0.441430664,-4.228881836,4.774475098,-7.038879395,-5.094909668
35,6.246999095,30,39.21971985,-8.487670898,0.722558594,-4.29407959,3.620910645,-6.109619141,-6.867980957
36,6.271050383,30,39.94514426,-8.521166992,0.711791992,-4.196582031,6.163024902,-7.70111084,-4.678344727
37,6.323540387,30,39.92174348,-8.545092773,0.907385254,-4.179833984,4.699707031,-6.01348877,-5.265808105
38,6.372456519,30,33.58013006,-8.817248535,1.041369629,-4.15411377,4.261779785,-7.540893555,-7.498168945
39,6.405316727,30,39.47712851,-8.704199219,1.043164063,-3.856237793,7.241821289,-7.88269043,-5.757141113
40,6.446674769,30,36.99664504,-8.844165039,1.122717285,-3.583483887,5.661010742,-6.921386719,-5.116271973
41,6.488349256,30,36.90304189,-8.964990234,0.954638672,-3.533239746,6.761169434,-6.130981445,-5.244445801
42,6.526128856,30,38.98571198,-8.89440918,0.895422363,-3.396264648,4.315185547,-7.412719727,-5.853271484
43,6.551459623,30,39.40692615,-8.885437012,0.977966309,-3.411218262,5.938720703,-5.32989502,-5.158996582
44,6.593935857,30,33.86093951,-8.961401367,0.814074707,-3.407629395,6.686401367,-8.576965332,-4.827880859
45,6.619577439,30,36.29462141,-8.872875977,0.923535156,-3.383703613,5.383300781,-6.558227539,-4.219055176
46,6.649641209,30,38.9389104,-9.087609863,0.93848877,-3.2921875,5.244445801,-4.154968262,-6.002807617
47,6.675538134,30,38.82190646,-9.051123047,0.949255371,-3.428564453,6.184387207,-6.312561035,-4.870605469
48,6.714606267,30,38.09648205,-8.869885254,0.906188965,-3.093603516,6.504821777,-6.344604492,-5.853271484
49,6.736426872,30,38.98571198,-9.106750488,0.840991211,-2.936291504,5.212402344,-6.312561035,-6.771850586
50,6.758330796,30,38.28368835,-9.149816895,0.59934082,-3.174353027,4.913330078,-7.070922852,-5.10559082
51,6.784725934,30,41.20878679,-9.069665527,0.67052002,-2.900402832,5.201721191,-7.113647461,-5.308532715
52,6.837879738,30,41.98101278,-9.226977539,0.78416748,-2.84597168,7.669067383,-7.722473145,-5.276489258
53,6.87358667,30,42.16821908,-9.054711914,0.726147461,-2.717370605,6.590270996,-6.611633301,-5.842590332
54,6.905009346,30,40.74077104,-9.110339355,0.675305176,-2.665930176,5.671691895,-5.928039551,-5.639648438
55,6.945657067,30,39.8749419,-8.98293457,0.82244873,-2.624060059,5.447387695,-5.949401855,-5.426025391
