seconds,temp (C),motor (%),force (gF),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
444,12.21883027,30,,,,
445,12.23594583,30,,,,
446,12.2445134,30,,,,
447,12.23594583,30,,,,
448,12.27025534,30,,,,
449,12.26166815,30,,,,
450,12.26166815,30,,,,
451,12.27884907,30,,,,
452,12.27884907,30,,,,
453,12.27884907,30,,,,
454,12.28744936,30,,,,
455,12.30466961,30,,,,
456,12.32191613,30,,,,
457,12.32191613,30,,,,
458,12.34783527,30,,,,
459,12.33054926,30,,,,
460,12.35648816,30,,,,
461,12.34783527,30,,,,
462,12.34783527,30,,,,
463,12.35648816,30,,,,
464,12.35648816,30,,,,
465,12.38248643,30,,,,
466,12.38248643,30,,,,
467,12.37381373,30,,,,
468,12.39116574,30,,,,
469,12.40854423,30,,,,
470,12.39985167,30,,,,
471,12.39985167,30,,,,
472,12.40854423,30,,,,
473,12.43466168,30,,,,
474,12.42594922,30,,,,
475,12.43466168,30,,,,
476,12.44338077,30,,,,
477,12.45210652,30,,,,
478,12.46083891,30,,,,
479,12.43466168,30,,,,
480,12.46957797,30,,,,
481,12.47832369,30,,,,
482,12.46957797,30,,,,
483,12.48707608,30,,,,
484,12.49583514,30,,,,
485,12.51337331,30,,,,
486,12.51337331,30,,,,
487,12.53973074,30,,,,
488,12.53093823,30,,,,
489,12.52215243,30,,,,
490,12.50460088,30,,,,
491,12.53973074,30,,,,
492,12.53973074,30,,,,
493,12.57496787,30,,,,
494,12.55733588,30,,,,
495,12.57496787,30,,,,
496,12.59262676,30,,,,
497,12.57496787,30,,,,
498,12.59262676,30,,,,
499,12.59262676,30,,,,
500,12.58379395,30,,,,
501,12.59262676,30,,,,
502,12.61916563,30,,,,
503,12.60146631,30,,,,
504,12.62802541,30,,,,
505,12.6103126,30,,,,
506,12.62802541,30,,,,
507,12.63689195,30,,,,
508,12.62802541,30,,,,
509,12.63689195,30,,,,
510,12.64576525,30,,,,
511,12.64576525,30,,,,
512,12.65464532,30,,,,
513,12.68132616,30,,,,
514,12.68132616,30,,,,
515,12.69023334,30,,,,
516,12.68132616,30,,,,
517,12.69023334,30,,,,
518,12.69023334,30,,,,
519,12.69914732,30,,,,
520,12.69914732,30,,,,
521,12.69023334,30,,,,
522,12.71699566,30,,,,
523,12.69914732,30,,,,
524,12.71699566,30,,,,
525,12.72593004,30,,,,
526,12.74381924,30,,,,
527,12.75277408,30,,,,
528,12.74381924,30,,,,
529,12.74381924,30,,,,
530,12.74381924,30,,,,
531,12.76173574,30,,,,
532,12.77967957,30,,,,
533,12.77967957,30,,,,
534,12.77070423,30,,,,
535,12.77967957,30,,,,
536,12.78866174,30,,,,
537,12.78866174,30,,,,
538,12.79765077,30,,,,
539,12.78866174,30,,,,
540,12.80664665,30,,,,
541,12.83367547,30,,,,
