seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
42,55.74067583,10.31486009,30,5.984436035,-0.071179199,7.205249023,15.31677246,86.64550781,-12.42218018
43,57.26172701,10.35755771,30,5.962902832,-1.58807373,7.667614746,-8.737182617,2.445983887,0.86517334
44,55.08545378,10.39328853,30,6.206347656,-1.623364258,7.52166748,2.926635742,-8.192443848,-6.045532227
45,55.48326716,10.42197139,30,6.306835938,-1.329077148,7.588659668,3.471374512,-8.288574219,-4.582214355
46,55.81087819,10.42915579,30,6.409716797,-2.66114502,7.819543457,-23.07128906,0.651550293,5.436706543
47,56.06828685,10.46515999,30,6.148925781,-1.721459961,7.785449219,-24.88708496,-9.687805176,4.432678223
48,54.36002936,10.50130168,30,5.721850586,-2.302258301,8.05222168,-51.16271973,9.591674805,-2.734375
49,46.38036083,10.51579697,30,5.717663574,-2.281323242,7.425366211,78.70941162,-19.97375488,-1.22833252
50,53.96221598,10.58129991,30,6.971374512,-1.584484863,7.41340332,-18.98040771,25.7522583,19.78149414
51,46.77817421,10.58860579,30,5.304943848,-2.39855957,7.539611816,41.6885376,-28.44390869,-10.99090576
52,47.9248128,10.60323426,30,5.364758301,-2.097094727,8.126391602,4.550170898,-6.793212891,-4.432678223
53,50.19468919,10.62521884,30,4.997497559,-0.912768555,8.414697266,26.90582275,-17.38891602,-18.19000244
54,48.39282855,10.68409073,30,5.503527832,-1.35838623,8.150915527,69.08569336,-32.98339844,-19.92034912
55,43.73607184,10.69886488,30,5.200866699,-0.138769531,8.189794922,12.24060059,-3.439331055,-9.24987793
56,46.12295216,10.75818723,30,5.60222168,-2.312426758,8.566027832,-34.61761475,-22.47314453,7.679748535
57,46.45056319,10.81039185,30,5.315710449,-1.265673828,8.000183105,33.09020996,4.721069336,-24.51324463
58,35.40539149,10.82535868,30,4.340734863,-0.096899414,8.828613281,5.191040039,-1.580810547,-8.715820313
59,49.56286793,10.87039634,30,4.188806152,-3.594250488,8.897998047,-7.455444336,-3.578186035,-3.268432617
60,49.07145139,10.84785176,30,4.809680176,-1.634729004,8.452978516,3.482055664,-6.611633301,-4.64630127
61,51.41153014,10.92320125,30,4.143945313,-2.598339844,9.018823242,-3.55682373,5.575561523,0.267028809
62,41.13858443,10.94591832,30,4.684667969,-0.308642578,8.772387695,0.341796875,-14.28070068,-3.428649902
63,54.4770333,10.97628867,30,4.30604248,-1.508520508,8.573803711,-15.69061279,6.536865234,3.161621094
64,43.50206396,10.99912727,30,5.326477051,-1.355395508,7.929602051,40.38543701,-6.579589844,-13.09509277
