seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
71,13.90006778,9.308485852,30,8.426062012,0.676501465,5.663830566,3.450012207,59.14154053,23.30627441
72,27.40232216,9.327506372,30,9.747961426,1.589868164,3.526062012,6.985473633,23.38104248,23.29559326
73,20.592693,9.321161366,30,7.792626953,-0.936694336,5.324084473,-43.93157959,-40.41748047,-21.03118896
74,23.00297411,9.346570436,30,8.048034668,-0.907983398,5.490368652,3.791809082,-3.27911377,-3.022766113
75,21.27131584,9.340210904,30,9.298156738,0.644799805,4.070373535,18.77746582,4.090881348,-5.116271973
76,13.33844888,9.384829594,30,8.153308105,-0.809887695,5.470629883,63.96942139,30.7510376,3.300476074
77,17.76119771,9.391223148,30,7.527648926,-2.225695801,6.299658203,-4.090881348,-9.666442871,-12.26196289
78,21.27131584,9.410433078,30,7.531835938,-2.026513672,5.980847168,12.33673096,-6.280517578,-6.483459473
79,20.31188355,9.416846156,30,7.54798584,-2.317211914,6.516186523,-6.301879883,0.437927246,3.96270752
80,21.17771269,9.429686985,30,7.422973633,-2.458972168,6.314013672,6.323242188,-6.077575684,-4.592895508
81,22.06694261,9.416846156,30,7.296166992,-2.339343262,6.263171387,6.29119873,-5.735778809,-4.42199707
82,16.94217015,9.44898497,30,7.248913574,-1.876379395,5.471228027,36.64703369,-5.511474609,-7.572937012
83,21.03730796,9.442547405,30,7.176538086,-2.219714355,5.989221191,5.83190918,-9.057617188,-6.33392334
84,18.5334237,9.429686985,30,7.683764648,-1.214831543,5.171557617,8.38470459,-0.534057617,-0.042724609
85,20.73309773,9.442547405,30,7.355981445,-2.604919434,6.325378418,6.430053711,-7.978820801,-5.564880371
86,21.57552608,9.455427444,30,7.424768066,-2.58338623,6.56583252,8.363342285,-21.58660889,-13.97094727
87,15.84233314,9.468327134,30,6.241638184,-0.566442871,4.207348633,-14.67590332,3.332519531,-1.441955566
88,24.87503711,9.461874831,30,7.061694336,-2.778979492,6.304443359,9.623718262,-9.848022461,-6.69708252
89,22.0903434,9.494185582,30,7.918835449,-1.253112793,5.720056152,18.93768311,-11.98425293,-15.23132324
90,22.58175994,9.487713577,30,7.588659668,-0.745288086,5.286999512,1.484680176,-3.108215332,3.428649902
